Microsoft Visual C++ 2005 Redistributable - x64 8.0.57102 False                               8.0.57102         
Windows Mobile Extension SDK                                                                  10.1.18362.1      
vs_devenvmsi                                                                                  16.0.28329        
Microsoft ASP.NET Web Tools Packages 16.0 - ENU                                               1.0.20910.0       
WinRT Intellisense IoT - Other Languages                                                      10.1.18362.1      
Microsoft Visual Studio Setup Configuration                                                   2.3.2200.14893    
Windows Live Photo Common                                                                     16.4.3528.0331    
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40649 False                              12.0.40649        
Microsoft .NET Core 2.1 Templates 3.1.101 (x64)                                               2.1.14.014848     
Microsoft Visual C++ 2005 Redistributable - x64 8.0.51011 False                               8.0.51011         
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.51106 False                           11.0.51106        
Java 8 Update 11 (64-bit)                                                                     8.0.110           
Java SE Development Kit 8 Update 11 (64-bit)                                                  8.0.110           
Microsoft ASP.NET Web Tools Packages 16.0 - ESN                                               1.0.20910.0       
HP DeskJet 5200 series Ayuda                                                                  44.0.0            
Microsoft .NET Framework 4.8 SDK                                                              4.8.03928         
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40649 False                           12.0.40649        
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610 False                           11.0.60610        
Windows SDK Facade Windows WinMD Versioned                                                    10.1.18362.1      
Microsoft Visual C++ 2017 X86 Additional Runtime - 14.20.27305                                14.20.27305       
HP DeskJet 5200 series Software básico del dispositivo                                        44.4.2678.1977    
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.0 False                             9.0.30729         
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005 False                           12.0.21005        
Microsoft .NET Core Host FX Resolver - 3.1.1 (x64)                                            24.68.28408       
windows_toolscorepkg                                                                          16.2.29006        
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161                                9.0.30729.6161    
SDK ARM Additions                                                                             10.1.18362.1      
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.51106 False                           11.0.51106        
Universal CRT Tools x86                                                                       10.1.18362.1      
Microsoft Azure Libraries for .NET – v2.9                                                    3.0.0127.060      
Windows IoT Extension SDK Contracts                                                           10.1.18362.1      
Microsoft TestPlatform SDK Local Feed                                                         16.0.0.3069091    
Microsoft ASP.NET Core 3.1.0 Targeting Pack (x64)                                             3.1.0.0           
Microsoft Visual C++ 2017 X64 Additional Runtime - 14.20.27305                                14.20.27305       
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.5570 False                          9.0.30729.5570    
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161                                9.0.30729.6161    
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005 False                              12.0.21005        
Windows SDK for Windows Store Apps Tools                                                      10.1.18362.1      
Windows SDK for Windows Store Managed Apps Libs                                               10.1.18362.1      
Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022 False                               9.0.21022         
vs_minshellmsi                                                                                16.4.29709        
vs_clickoncebootstrappermsi                                                                   16.0.28329        
Windows SDK for Windows Store Apps                                                            10.1.18362.1      
IntelliTraceProfilerProxy                                                                     15.0.18198.01     
Application Verifier x64 External Package                                                     10.1.18362.1      
Kits Configuration Installer                                                                  10.1.18362.1      
Microsoft Visual C++ 2017 X86 Minimum Runtime - 14.20.27305                                   14.20.27305       
Microsoft ASP.NET Core 2.1.15 Shared Framework (x64)                                          2.1.15.0          
Universal General MIDI DLS Extension SDK                                                      10.1.18362.1      
Microsoft .NET Framework 4.6 Targeting Pack                                                   4.6.00081         
Microsoft Visual C++ 2005 Redistributable - x64 8.0.58298 False                               8.0.58298         
Microsoft NetStandard SDK                                                                     15.0.51105        
Windows SDK Desktop Libs x86                                                                  10.1.18362.1      
D3DX10                                                                                        15.4.2368.0902    
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030                                 11.0.61030        
Windows App Certification Kit x64                                                             10.1.18362.1      
Microsoft System CLR Types para SQL Server 2019 CTP2.2                                        15.0.1200.24      
vs_filehandler_x86                                                                            16.4.29709        
Microsoft .NET Core Targeting Pack - 3.1.0 (x64)                                              24.64.28315       
Windows Live Communications Platform                                                          16.4.3528.0331    
Microsoft Command Line Utilities 15 for SQL Server                                            15.0.1300.359     
Microsoft Visual C++ 2005 Redistributable - x64 8.0.56336 False                               8.0.56336         
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660 False                           12.0.40660        
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.60610 False                           11.0.60610        
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729 False                               9.0.30729         
Microsoft .NET Framework 4 Multi-Targeting Pack                                               4.0.30319         
Microsoft .NET Core AppHost Pack - 3.1.1 (x64_arm)                                            24.68.28408       
Windows Simulator - ENU                                                                       16.0.28522        
